[Header]	
System	TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	3/21/2024 12:03:36 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/High Suspension Kit (High Conc.)	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 4:29:36 PM	9	2	TC	335.9	25.00	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 4:37:18 PM	9	3	TC	332.9	25.00	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 4:45:42 PM	10	1	TC	654.6	50.00	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 4:51:17 PM	10	2	TC	660.2	50.00	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 4:56:46 PM	10	3	TC	662.1	50.00	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 5:05:10 PM	11	1	TC	1264	100.0	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 5:10:45 PM	11	2	TC	1270	100.0	 	0	150	
Standard	TC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal		1.00		3/18/2024 5:16:22 PM	11	3	TC	1269	100.0	 	0	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal	1.00		3/18/2024 5:23:57 PM	1	1	NPOC	10.10	0.7911	NPOC:0.1563mg/L TN:0.000mg/L	1	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal	1.00		3/18/2024 5:27:53 PM	1	2	NPOC	3.443	0.2697	NPOC:0.1563mg/L TN:0.000mg/L	1	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal	1.00		3/18/2024 5:31:41 PM	1	3	NPOC	2.089	0.1636	NPOC:0.1563mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal	1.00		3/18/2024 5:35:34 PM	1	4	NPOC	2.163	0.1694	NPOC:0.1563mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20141803_0-100ppmC_CO_40mL.2024_03_18_13_15_01.cal	1.00		3/18/2024 5:39:09 PM	1	5	NPOC	1.734	0.1358	NPOC:0.1563mg/L TN:0.000mg/L	0	150	
